Electricity:Facility,ElectricityProduced:Facility,Electricity:Grid:ToLoad,Electricity:Grid:ToBattery,Electricity:Storage:ToLoad,Electricity:Storage:ToGrid,Electricity:Storage:StateOfCharge,ElectricityProduced:Generator:Total,ElectricityProduced:Generator:ToBattery,ElectricityProduced:Generator:ToLoad,ElectricityProduced:Generator:ToGrid,ElectricityProduced:PV:Total,ElectricityProduced:PV:ToBattery,ElectricityProduced:PV:ToLoad,ElectricityProduced:PV:ToGrid,ElectricityProduced:Wind:Total,ElectricityProduced:Wind:ToBattery,ElectricityProduced:Wind:ToLoad,ElectricityProduced:Wind:ToGrid,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
33.644,0.0,33.644,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.2873,0.0,29.2873,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.3788,0.0,28.3788,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.2316,0.0,28.2316,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,1885.996561,0,0,0,0,0,0,0,0,0,0
18.1469,0.0,18.1469,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,1682.199351,0,0,0,0,0,0,0,0,0,0
18.1821,5.24132,12.894,0.0,0.0467516,0,0.96040144520273,,0,0,0,5.24132,0.0,5.24132,0.0,,0,0,0,1464.363824,0,0,0,0,0,0,0,0,0,0
13.1658,9.91865,2.34939,0.0,0.897757,0,0.199999197109595,,0,0,0,9.91865,0.0,9.91865,0.0,,0,0,0,1418.939699,0,0,0,0,0,0,0,0,0,0
12.5835,13.0342,0.0,0.0,0.0,0,0.542987555198715,,0,0,0,13.0342,0.45066,12.5835,0.0,,0,0,0,1411.580432,0,0,0,0,0,0,0,0,0,0
14.0289,14.8536,0.0,0.0,0.0,0,1.0,,0,0,0,14.8536,0.600476,14.0289,0.224197,,0,0,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.8462,14.9268,0.0,0.0,0.0,0,1.0,,0,0,0,14.9268,0.0,13.8462,1.08058,,0,0,0,909.104902,0,0,0,0,0,0,0,0,0,0
38.0733,13.4382,23.7841,0.0,0.851006,0,0.279196306704135,,0,0,0,13.4382,0.0,13.4382,0.0,,0,0,0,658.291618,0,0,0,0,0,0,0,0,0,0
0.148367,10.2955,0.0,0.0,0.0,0,1.0,,0,0,0,10.2955,0.947077,0.148367,9.2001,,0,0,0,629.1770225,0,0,0,0,0,0,0,0,0,0
7.44611,5.89208,1.07227,0.0,0.481764,0,0.591943797671618,,0,0,0,5.89208,0.0,5.89208,0.0,,0,0,0,701.4460033,0,0,0,0,0,0,0,0,0,0
0.708425,1.24458,0.0,0.0,0.0,0,1.0,,0,0,0,1.24458,0.536152,0.708425,0.0,,0,0,0,692.3099214,0,0,0,0,0,0,0,0,0,0
10.1952,0.0,10.1952,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.15212,0.0,0.15212,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.112721,0.0,0.112721,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0.0,37.7199,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0.0,33.644,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.2873,0.0,29.2873,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.3788,0.0,28.3788,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.2316,0.0,28.2316,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,1885.996561,0,0,0,0,0,0,0,0,0,0
18.1469,0.0,18.1469,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,1682.199351,0,0,0,0,0,0,0,0,0,0
18.1821,5.31182,12.8235,0.0,0.0467516,0,0.96040144520273,,0,0,0,5.31182,0.0,5.31182,0.0,,0,0,0,1464.363824,0,0,0,0,0,0,0,0,0,0
13.1658,10.0813,2.1867,0.0,0.897757,0,0.199999197109595,,0,0,0,10.0813,0.0,10.0813,0.0,,0,0,0,1418.939699,0,0,0,0,0,0,0,0,0,0
12.5835,13.3921,0.0,0.0,0.0,0,0.815391409072662,,0,0,0,13.3921,0.808577,12.5835,0.0,,0,0,0,1411.580432,0,0,0,0,0,0,0,0,0,0
14.0289,15.1139,0.0,0.0,0.0,0,1.0,,0,0,0,15.1139,0.242559,14.0289,0.842418,,0,0,0,907.3467985,0,0,0,0,0,0,0,0,0,0
